[2019-10-13 13:46:18,897], ## Epoch 171/500 Loss:77.835, MAE:193.56, MSE:270.40, Best MAE:108.61
[2019-10-13 13:47:08,108], ## Epoch 172/500 Loss:87.395, MAE:114.55, MSE:176.03, Best MAE:108.61
[2019-10-13 13:47:56,815], ## Epoch 173/500 Loss:74.139, MAE:109.41, MSE:166.58, Best MAE:108.61
[2019-10-13 13:48:46,119], ## Epoch 174/500 Loss:75.995, MAE:256.05, MSE:334.69, Best MAE:108.61
[2019-10-13 13:49:35,356], ## Epoch 175/500 Loss:83.427, MAE:112.92, MSE:172.73, Best MAE:108.61
[2019-10-13 13:50:24,532], ## Epoch 176/500 Loss:79.085, MAE:105.80, MSE:161.50, Best MAE:108.61
[2019-10-13 13:51:14,227], ## Epoch 177/500 Loss:78.149, MAE:176.70, MSE:255.52, Best MAE:105.80
[2019-10-13 13:52:03,321], ## Epoch 178/500 Loss:83.605, MAE:144.81, MSE:216.59, Best MAE:105.80
[2019-10-13 13:52:52,748], ## Epoch 179/500 Loss:79.394, MAE:122.82, MSE:184.19, Best MAE:105.80
[2019-10-13 13:53:42,098], ## Epoch 180/500 Loss:84.294, MAE:162.83, MSE:241.87, Best MAE:105.80
[2019-10-13 13:54:31,472], ## Epoch 181/500 Loss:80.032, MAE:113.23, MSE:179.61, Best MAE:105.80
[2019-10-13 13:55:21,059], ## Epoch 182/500 Loss:81.428, MAE:112.70, MSE:177.54, Best MAE:105.80
[2019-10-13 13:56:10,389], ## Epoch 183/500 Loss:72.372, MAE:113.94, MSE:169.61, Best MAE:105.80
[2019-10-13 13:56:59,829], ## Epoch 184/500 Loss:82.629, MAE:126.50, MSE:188.77, Best MAE:105.80
[2019-10-13 13:57:48,861], ## Epoch 185/500 Loss:81.238, MAE:113.63, MSE:180.76, Best MAE:105.80
[2019-10-13 13:58:37,974], ## Epoch 186/500 Loss:69.842, MAE:114.15, MSE:175.93, Best MAE:105.80
