[2019-10-12 19:27:54,100], ## Epoch 127/500 Loss:97.706, MAE:137.65, MSE:205.63, Best MAE:119.85
[2019-10-12 19:28:43,502], ## Epoch 128/500 Loss:95.206, MAE:145.36, MSE:210.35, Best MAE:119.85
[2019-10-12 19:29:32,662], ## Epoch 129/500 Loss:104.173, MAE:193.36, MSE:274.33, Best MAE:119.85
[2019-10-12 19:30:22,042], ## Epoch 130/500 Loss:93.474, MAE:123.74, MSE:200.30, Best MAE:119.85
[2019-10-12 19:31:11,453], ## Epoch 131/500 Loss:90.558, MAE:134.29, MSE:215.92, Best MAE:119.85
[2019-10-12 19:32:00,781], ## Epoch 132/500 Loss:83.984, MAE:134.30, MSE:199.68, Best MAE:119.85
[2019-10-12 19:32:50,679], ## Epoch 133/500 Loss:95.663, MAE:133.84, MSE:209.97, Best MAE:119.85
[2019-10-12 19:33:39,968], ## Epoch 134/500 Loss:94.544, MAE:130.98, MSE:195.88, Best MAE:119.85
[2019-10-12 19:34:29,985], ## Epoch 135/500 Loss:90.027, MAE:117.52, MSE:184.14, Best MAE:119.85
[2019-10-12 19:35:20,531], ## Epoch 136/500 Loss:98.949, MAE:128.00, MSE:196.79, Best MAE:117.52
[2019-10-12 19:36:10,600], ## Epoch 137/500 Loss:88.181, MAE:178.05, MSE:261.56, Best MAE:117.52
[2019-10-12 19:37:00,946], ## Epoch 138/500 Loss:87.938, MAE:139.04, MSE:205.93, Best MAE:117.52
[2019-10-12 19:37:50,771], ## Epoch 139/500 Loss:86.106, MAE:129.79, MSE:196.03, Best MAE:117.52
[2019-10-12 19:38:41,117], ## Epoch 140/500 Loss:85.558, MAE:143.30, MSE:226.35, Best MAE:117.52
[2019-10-12 19:39:30,540], ## Epoch 141/500 Loss:95.344, MAE:122.12, MSE:199.40, Best MAE:117.52
[2019-10-12 19:40:19,887], ## Epoch 142/500 Loss:81.468, MAE:129.84, MSE:202.59, Best MAE:117.52
[2019-10-12 19:41:10,000], ## Epoch 143/500 Loss:91.874, MAE:141.52, MSE:216.06, Best MAE:117.52
[2019-10-12 19:41:59,810], ## Epoch 144/500 Loss:97.470, MAE:140.06, MSE:209.52, Best MAE:117.52
[2019-10-12 19:42:49,616], ## Epoch 145/500 Loss:85.075, MAE:227.93, MSE:325.60, Best MAE:117.52
[2019-10-12 19:43:39,803], ## Epoch 146/500 Loss:91.081, MAE:120.17, MSE:182.69, Best MAE:117.52
[2019-10-12 19:44:29,519], ## Epoch 147/500 Loss:90.753, MAE:125.60, MSE:198.88, Best MAE:117.52
[2019-10-12 19:45:19,301], ## Epoch 148/500 Loss:87.950, MAE:139.68, MSE:207.10, Best MAE:117.52
[2019-10-12 19:46:09,184], ## Epoch 149/500 Loss:90.562, MAE:115.19, MSE:184.08, Best MAE:117.52
[2019-10-12 19:46:59,440], ## Epoch 150/500 Loss:79.588, MAE:124.15, MSE:191.81, Best MAE:115.19
[2019-10-12 19:47:49,113], ## Epoch 151/500 Loss:88.392, MAE:132.61, MSE:198.89, Best MAE:115.19
[2019-10-12 19:48:39,160], ## Epoch 152/500 Loss:83.279, MAE:122.41, MSE:198.36, Best MAE:115.19
[2019-10-12 19:49:28,474], ## Epoch 153/500 Loss:83.910, MAE:119.72, MSE:180.72, Best MAE:115.19
[2019-10-12 19:50:18,470], ## Epoch 154/500 Loss:87.602, MAE:127.08, MSE:200.03, Best MAE:115.19
[2019-10-12 19:51:07,523], ## Epoch 155/500 Loss:99.338, MAE:142.66, MSE:227.44, Best MAE:115.19
[2019-10-12 19:51:57,061], ## Epoch 156/500 Loss:85.784, MAE:118.47, MSE:186.93, Best MAE:115.19
[2019-10-12 19:52:47,009], ## Epoch 157/500 Loss:94.854, MAE:127.95, MSE:200.46, Best MAE:115.19
[2019-10-12 19:53:37,017], ## Epoch 158/500 Loss:89.246, MAE:132.15, MSE:204.83, Best MAE:115.19
[2019-10-12 19:54:26,877], ## Epoch 159/500 Loss:89.509, MAE:157.41, MSE:229.30, Best MAE:115.19
[2019-10-12 19:55:16,817], ## Epoch 160/500 Loss:91.516, MAE:117.29, MSE:194.07, Best MAE:115.19
[2019-10-12 19:56:07,007], ## Epoch 161/500 Loss:85.215, MAE:141.44, MSE:219.74, Best MAE:115.19
[2019-10-12 19:56:57,239], ## Epoch 162/500 Loss:83.086, MAE:125.72, MSE:195.87, Best MAE:115.19
[2019-10-12 19:57:47,404], ## Epoch 163/500 Loss:83.911, MAE:225.21, MSE:299.00, Best MAE:115.19
[2019-10-12 19:58:37,118], ## Epoch 164/500 Loss:90.238, MAE:128.70, MSE:201.81, Best MAE:115.19
[2019-10-12 19:59:27,069], ## Epoch 165/500 Loss:101.115, MAE:125.93, MSE:202.01, Best MAE:115.19
[2019-10-12 20:00:16,844], ## Epoch 166/500 Loss:87.237, MAE:141.51, MSE:218.75, Best MAE:115.19
[2019-10-12 20:01:06,459], ## Epoch 167/500 Loss:86.619, MAE:140.93, MSE:204.73, Best MAE:115.19
[2019-10-12 20:01:56,051], ## Epoch 168/500 Loss:85.430, MAE:154.48, MSE:220.91, Best MAE:115.19
[2019-10-12 20:02:46,219], ## Epoch 169/500 Loss:87.388, MAE:141.41, MSE:205.89, Best MAE:115.19
[2019-10-12 20:03:35,733], ## Epoch 170/500 Loss:92.651, MAE:136.43, MSE:214.37, Best MAE:115.19
[2019-10-12 20:04:25,522], ## Epoch 171/500 Loss:92.819, MAE:151.69, MSE:222.00, Best MAE:115.19
[2019-10-12 20:05:15,631], ## Epoch 172/500 Loss:88.082, MAE:113.98, MSE:177.99, Best MAE:115.19
